,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.245,0.161,0.481,0.269,0.072,0.244,0.080,0.222
Boulware-Conceder,0.398,0.104,0.559,0.319,0.085,0.101,0.039,0.229
Boulware-Linear,0.386,0.106,0.467,0.260,0.115,0.261,0.046,0.235
Boulware-Atlas3,0.386,0.161,0.545,0.246,0.148,0.158,0.034,0.240
Conceder-Conceder,0.442,0.180,0.501,0.277,0.165,0.323,0.104,0.285
Conceder-Linear,0.464,0.190,0.589,0.300,0.162,0.327,0.102,0.305
Conceder-Atlas3,0.471,0.207,0.610,0.402,0.123,0.219,0.079,0.302
Linear-Linear,0.471,0.187,0.606,0.387,0.170,0.386,0.102,0.330
Linear-Atlas3,0.501,0.153,0.661,0.320,0.146,0.243,0.095,0.303
Atlas3-Atlas3,0.468,0.161,0.677,0.412,0.137,0.223,0.040,0.303
Average,0.423,0.161,0.570,0.319,0.132,0.249,0.072,0.275
