,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,76.333%,82.500%,67.833%,71.167%,70.500%,81.667%,73.000%,74.714%
Boulware-Conceder,95.333%,95.000%,98.333%,92.500%,90.500%,80.333%,65.833%,88.262%
Boulware-Linear,96.667%,92.500%,95.167%,89.667%,84.667%,81.833%,64.167%,86.381%
Boulware-Atlas3,93.667%,90.000%,98.000%,91.500%,93.667%,80.333%,66.000%,87.595%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,98.667%,99.810%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,90.167%,80.167%,95.762%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,99.833%,100.000%,99.976%
Linear-Atlas3,99.833%,100.000%,100.000%,100.000%,99.667%,91.500%,81.500%,96.071%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,94.000%,93.500%,98.214%
Average,96.183%,96.000%,95.933%,94.483%,93.900%,89.967%,82.283%,92.679%
