,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,1.802,1.481,1.720,1.432,1.232,2.210,1.476,1.622
Boulware-Conceder,2.213,1.797,2.454,1.887,1.597,1.857,1.331,1.877
Boulware-Linear,2.268,1.706,2.376,1.788,1.468,2.058,1.354,1.860
Boulware-Atlas3,2.214,1.656,2.463,1.825,1.613,1.917,1.353,1.863
Conceder-Conceder,2.266,1.809,2.387,1.711,1.655,2.128,1.473,1.918
Conceder-Linear,2.346,1.812,2.489,2.099,1.774,2.173,1.671,2.052
Conceder-Atlas3,2.311,1.769,2.510,2.061,1.729,2.053,1.713,2.021
Linear-Linear,2.376,1.864,2.506,2.064,1.723,2.371,1.664,2.081
Linear-Atlas3,2.343,1.716,2.554,1.913,1.670,2.254,1.683,2.019
Atlas3-Atlas3,2.361,1.808,2.575,1.986,1.714,2.044,1.507,1.999
Average,2.250,1.742,2.403,1.877,1.618,2.107,1.523,1.931
